cluster,sub_cluster,hard_skills,soft_skills,description,riasec_sources,simulation_example
AGRICULTURE,Water Systems,Irrigation systems; aquaculture operations; water management; resource monitoring,Stewardship; ethical responsibility,Manages water resources used in farming and fisheries to support food production and environmental balance.,Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:0.8,"Food Product Development Simulator: This simulation focuses on the process of creating and testing a new food product. The user is part of a product development team at a major food company and must create a new product line, such as a healthy snack, from concept to market. Decision-making: Participants must consider and make choices on: (i) Formulation: Selecting ingredients, balancing nutritional content, and ensuring food safety. (ii) Sensory analysis: Interpreting virtual taste test data to refine the product for consumer appeal. (iii) Packaging: Designing packaging that is both functional and marketable. (iv) Costing: Managing the production budget and determining the final price. This simulation reveals a user's interest in research and development, problem-solving, attention to detail, and understanding consumer preferences. It highlights aptitudes relevant to food chemistry and quality assurance

 Virtual ""Farm to Table"" Supply Chain: This module simulates managing a small agribusiness that supplies produce to local restaurants and grocery stores. The user manages the virtual company's supply chain, forecasting demand, managing inventory, and handling logistics and pricing. Tasks include analyzing sales trends to determine production quantities, negotiating prices with suppliers and buyers, and developing pro forma financial statements to track profitability. Competitor actions may also require strategic adjustments. This simulation helps individuals infer their aptitude for business management, financial analysis, negotiation, and market awareness"
"ARTS, ENTERTAINMENT & DESIGN",Design & Digital Arts,Graphic design; digital illustration; animation; UI/UX design; design software; layout and composition; creative technologies,Creativity; visual communication; adaptability; attention to detail,"Involves creating visual and interactive designs for digital media, products, and experiences, including graphics, animation, user interfaces, and immersive content used in technology, marketing, and entertainment.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"Design a user experience (UX): Provide the participant with a common problem, such as ""how to make a grocery list app more fun."" They must create a simple storyboard outlining the app's key features, visual interface (UI), and user flow. This assesses their empathy for users, problem-solving, and design thinking.

 The pitch session: The participant is given time to come up with a concept for a new app, video game, or short film. They must then prepare and deliver an ""elevator pitch"", explaining the idea, the target audience, and why it's a valuable concept. This tests communication skills, business acumen, and creative vision.

 Develop a character backstory: Present the participant with a single image of a person and ask them to write a one-page backstory for that character. They should include details about the character's motivation, internal struggles, and communication style. This reveals their aptitude for narrative and character development, useful for actors and writers"
"ARTS, ENTERTAINMENT & DESIGN",Fashion & Interiors,Fashion design; textile knowledge; interior design principles; materials selection; spatial planning; design presentation,Aesthetic judgment; innovation; organization,"Focuses on designing clothing, textiles, and interior spaces by combining creativity, materials, functionality, and market trends for personal, commercial, and public environments.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"Design a user experience (UX): Provide the participant with a common problem, such as ""how to make a grocery list app more fun."" They must create a simple storyboard outlining the app's key features, visual interface (UI), and user flow. This assesses their empathy for users, problem-solving, and design thinking.

 The pitch session: The participant is given time to come up with a concept for a new app, video game, or short film. They must then prepare and deliver an ""elevator pitch"", explaining the idea, the target audience, and why it's a valuable concept. This tests communication skills, business acumen, and creative vision.

 Develop a character backstory: Present the participant with a single image of a person and ask them to write a one-page backstory for that character. They should include details about the character's motivation, internal struggles, and communication style. This reveals their aptitude for narrative and character development, useful for actors and writers"
"ARTS, ENTERTAINMENT & DESIGN",Fine Arts,Artistic techniques; studio practices; art production methods; portfolio development,Discipline; perseverance; self-expression,"Centers on producing original visual artwork through drawing, painting, sculpture, or digital media for cultural expression, exhibitions, or commercial use.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"Design a user experience (UX): Provide the participant with a common problem, such as ""how to make a grocery list app more fun."" They must create a simple storyboard outlining the app's key features, visual interface (UI), and user flow. This assesses their empathy for users, problem-solving, and design thinking.

 The pitch session: The participant is given time to come up with a concept for a new app, video game, or short film. They must then prepare and deliver an ""elevator pitch"", explaining the idea, the target audience, and why it's a valuable concept. This tests communication skills, business acumen, and creative vision.

 Develop a character backstory: Present the participant with a single image of a person and ask them to write a one-page backstory for that character. They should include details about the character's motivation, internal struggles, and communication style. This reveals their aptitude for narrative and character development, useful for actors and writers"
"ARTS, ENTERTAINMENT & DESIGN",Lighting & Sound Technology,Sound engineering; audio systems; lighting design; equipment setup; technical operation,Precision; collaboration; problem solving,"Involves designing, setting up, and operating lighting and audio systems that shape how performances, events, and media productions look and sound.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"Design a user experience (UX): Provide the participant with a common problem, such as ""how to make a grocery list app more fun."" They must create a simple storyboard outlining the app's key features, visual interface (UI), and user flow. This assesses their empathy for users, problem-solving, and design thinking.

 The pitch session: The participant is given time to come up with a concept for a new app, video game, or short film. They must then prepare and deliver an ""elevator pitch"", explaining the idea, the target audience, and why it's a valuable concept. This tests communication skills, business acumen, and creative vision.

 Develop a character backstory: Present the participant with a single image of a person and ask them to write a one-page backstory for that character. They should include details about the character's motivation, internal struggles, and communication style. This reveals their aptitude for narrative and character development, useful for actors and writers"
"ARTS, ENTERTAINMENT & DESIGN",Media Production & Broadcasting,Video production; editing; writing; broadcasting tools; media technology,Storytelling; communication; ethical judgment,"Produces and distributes video, audio, and written content for film, television, journalism, streaming platforms, and digital media.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"Design a user experience (UX): Provide the participant with a common problem, such as ""how to make a grocery list app more fun."" They must create a simple storyboard outlining the app's key features, visual interface (UI), and user flow. This assesses their empathy for users, problem-solving, and design thinking.

 The pitch session: The participant is given time to come up with a concept for a new app, video game, or short film. They must then prepare and deliver an ""elevator pitch"", explaining the idea, the target audience, and why it's a valuable concept. This tests communication skills, business acumen, and creative vision.

 Develop a character backstory: Present the participant with a single image of a person and ask them to write a one-page backstory for that character. They should include details about the character's motivation, internal struggles, and communication style. This reveals their aptitude for narrative and character development, useful for actors and writers"
"ARTS, ENTERTAINMENT & DESIGN",Performing Arts,Performance techniques; rehearsal methods; stage production; performance technology,Confidence; resilience; teamwork,"Delivers live performances through acting, music, dance, and stage production while coordinating rehearsals, technical elements, and audience experiences.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"Design a user experience (UX): Provide the participant with a common problem, such as ""how to make a grocery list app more fun."" They must create a simple storyboard outlining the app's key features, visual interface (UI), and user flow. This assesses their empathy for users, problem-solving, and design thinking.

 The pitch session: The participant is given time to come up with a concept for a new app, video game, or short film. They must then prepare and deliver an ""elevator pitch"", explaining the idea, the target audience, and why it's a valuable concept. This tests communication skills, business acumen, and creative vision.

 Develop a character backstory: Present the participant with a single image of a person and ask them to write a one-page backstory for that character. They should include details about the character's motivation, internal struggles, and communication style. This reveals their aptitude for narrative and character development, useful for actors and writers"
CONSTRUCTION,Architecture & Civil Engineering,Drafting; CAD; structural concepts; design standards; technical documentation,Spatial reasoning; problem solving; precision,"Designs buildings, roads, bridges, and public spaces by combining technical planning, safety standards, and functional design to support how communities live and move.",Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Artistic:0.8,"Real Estate Flip: Using a provided budget, participants ""purchase"" and ""renovate"" a virtual home by selecting improvements from a list. This simulates roles in real estate, project management, and finance, testing budget management and design sense.

The ""Design Challenge"" activity: Give participants a simple prompt, such as ""Design a more user-friendly water bottle"" or ""Create a more efficient public transport system for a small town."" Participants can describe using text to present their solution. This assesses creativity and design focus"
CONSTRUCTION,Construction Planning & Development,Cost estimation; surveying; construction planning; project coordination; regulatory processes,Organization; attention to detail; decision-making,"Manages the early stages of construction projects by coordinating land use, costs, permits, schedules, and project feasibility before building begins.",Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Artistic:0.8,"Real Estate Flip: Using a provided budget, participants ""purchase"" and ""renovate"" a virtual home by selecting improvements from a list. This simulates roles in real estate, project management, and finance, testing budget management and design sense.

The ""Design Challenge"" activity: Give participants a simple prompt, such as ""Design a more user-friendly water bottle"" or ""Create a more efficient public transport system for a small town."" Participants can describe using text to present their solution. This assesses creativity and design focus"
CONSTRUCTION,Equipment Operation & Maintenance,Heavy equipment operation; mechanical systems; maintenance procedures; safety practices,Responsibility; safety awareness,"Operates and maintains heavy machinery used to construct buildings, roads, and infrastructure while following strict safety procedures.",Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Artistic:0.8,"Real Estate Flip: Using a provided budget, participants ""purchase"" and ""renovate"" a virtual home by selecting improvements from a list. This simulates roles in real estate, project management, and finance, testing budget management and design sense.

 The ""Design Challenge"" activity: Give participants a simple prompt, such as ""Design a more user-friendly water bottle"" or ""Create a more efficient public transport system for a small town."" Participants can describe using text to present their solution. This assesses creativity and design focus"
CONSTRUCTION,Skilled Trades,Trade-specific techniques; tool operation; construction methods; safety standards,Reliability; precision; work ethic,"Builds, installs, and repairs structural and mechanical systems through hands-on trades such as carpentry, electrical work, plumbing, and welding.",Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Artistic:0.8,"Real Estate Flip: Using a provided budget, participants ""purchase"" and ""renovate"" a virtual home by selecting improvements from a list. This simulates roles in real estate, project management, and finance, testing budget management and design sense.

The ""Design Challenge"" activity: Give participants a simple prompt, such as ""Design a more user-friendly water bottle"" or ""Create a more efficient public transport system for a small town."" Participants can describe using text to present their solution. This assesses creativity and design focus"
EDUCATION,Early Childhood Development,Child development knowledge; early learning methods; developmental observation,Patience; empathy; responsibility,"Supports the physical, social, and cognitive development of young children through structured care, learning activities, and early intervention.",Conventional:1; Investigative:1; Social:1; Artistic:0.8; Enterprising:0.8; Realistic:0.8,"The Unruly Classroom: A participant is put in charge of a virtual classroom of misbehaving student avatars. The simulation presents a series of events, like students talking during a lecture or refusing to follow instructions. The participant must choose from a menu of responses, and an AI or human facilitator provides real-time feedback on their choices and their consequences.

 The Challenging Curriculum: The participant receives a fictional memo outlining a problem with a school's curriculum—for example, low test scores in a specific subject area. They must use provided resources (such as virtual lesson plans, student data, or feedback from virtual parents) to create and present a new instructional approach.

The Difficult Parent Meeting: The participant must role-play a parent-teacher conference with a virtual avatar of an unhappy parent. The participant uses a conversational agent (a chatbot) or mixed reality to practice de-escalating the situation, answering difficult questions, and reaching a productive solution.

 AI-Powered Mock Interviews: A participant conducts a simulated job interview with an AI virtual human playing the role of a school administrator. The interview focuses on behavioral questions related to teaching, such as handling conflict with a parent, motivating a struggling student, or working in a team. The user answers the questions through text. The AI interviewer can dynamically ask follow-up questions to probe deeper into the participant's responses. The AI analyzes the user's answers for content, communication style, and alignment with pedagogical best practices. The tool can provide a score and critical feedback on how the user presented their motivations and handled difficult situations

Parent-Teacher Communication Simulation: The user engages in a simulated conversation with an AI avatar portraying an upset parent. The parent may be concerned about their child's grades, a classroom incident, or a teacher's specific policy. The individual uses text to de-escalate the conversation, address the parent's concerns, and work collaboratively toward a solution. The AI assesses the user's communication, empathy, and problem-solving skills, gauging their ability to build positive relationships with parents and handle sensitive issues diplomatically.

Collaborative Learning Group Facilitation: The user is tasked with leading a virtual group of AI student avatars to complete a project. The avatars are programmed with different personalities, some of which may be uncooperative or have different opinions. The user facilitates the discussion and guides the team to consensus, managing conflicts and ensuring all members contribute effectively. The AI analyzes the user's leadership style, ability to manage group dynamics, and effectiveness in achieving the final project goal. This can help infer how well the individual would perform as a mentor or collaborative teacher."
EDUCATION,Education Administration & Leadership,Organizational management; policy analysis; program planning; leadership systems,Decision-making; leadership; communication,"Oversees schools and education systems by managing staff, programs, policies, and operations that shape learning environments.",Conventional:1; Investigative:1; Social:1; Artistic:0.8; Enterprising:0.8; Realistic:0.8,"The Unruly Classroom: A participant is put in charge of a virtual classroom of misbehaving student avatars. The simulation presents a series of events, like students talking during a lecture or refusing to follow instructions. The participant must choose from a menu of responses, and an AI or human facilitator provides real-time feedback on their choices and their consequences.

 The Challenging Curriculum: The participant receives a fictional memo outlining a problem with a school's curriculum—for example, low test scores in a specific subject area. They must use provided resources (such as virtual lesson plans, student data, or feedback from virtual parents) to create and present a new instructional approach.

The Difficult Parent Meeting: The participant must role-play a parent-teacher conference with a virtual avatar of an unhappy parent. The participant uses a conversational agent (a chatbot) or mixed reality to practice de-escalating the situation, answering difficult questions, and reaching a productive solution.

 AI-Powered Mock Interviews: A participant conducts a simulated job interview with an AI virtual human playing the role of a school administrator. The interview focuses on behavioral questions related to teaching, such as handling conflict with a parent, motivating a struggling student, or working in a team. The user answers the questions through text. The AI interviewer can dynamically ask follow-up questions to probe deeper into the participant's responses. The AI analyzes the user's answers for content, communication style, and alignment with pedagogical best practices. The tool can provide a score and critical feedback on how the user presented their motivations and handled difficult situations

Parent-Teacher Communication Simulation: The user engages in a simulated conversation with an AI avatar portraying an upset parent. The parent may be concerned about their child's grades, a classroom incident, or a teacher's specific policy. The individual uses text to de-escalate the conversation, address the parent's concerns, and work collaboratively toward a solution. The AI assesses the user's communication, empathy, and problem-solving skills, gauging their ability to build positive relationships with parents and handle sensitive issues diplomatically.

Collaborative Learning Group Facilitation: The user is tasked with leading a virtual group of AI student avatars to complete a project. The avatars are programmed with different personalities, some of which may be uncooperative or have different opinions. The user facilitates the discussion and guides the team to consensus, managing conflicts and ensuring all members contribute effectively. The AI analyzes the user's leadership style, ability to manage group dynamics, and effectiveness in achieving the final project goal. This can help infer how well the individual would perform as a mentor or collaborative teacher."
EDUCATION,Learner Support & Community Engagement,Advising; program coordination; support services; community partnerships,Communication; empathy; collaboration,"Provides guidance, resources, and services that help learners succeed academically while connecting schools with families and community partners.",Conventional:1; Investigative:1; Social:1; Artistic:0.8; Enterprising:0.8; Realistic:0.8,"The Unruly Classroom: A participant is put in charge of a virtual classroom of misbehaving student avatars. The simulation presents a series of events, like students talking during a lecture or refusing to follow instructions. The participant must choose from a menu of responses, and an AI or human facilitator provides real-time feedback on their choices and their consequences.

 The Challenging Curriculum: The participant receives a fictional memo outlining a problem with a school's curriculum—for example, low test scores in a specific subject area. They must use provided resources (such as virtual lesson plans, student data, or feedback from virtual parents) to create and present a new instructional approach.

The Difficult Parent Meeting: The participant must role-play a parent-teacher conference with a virtual avatar of an unhappy parent. The participant uses a conversational agent (a chatbot) or mixed reality to practice de-escalating the situation, answering difficult questions, and reaching a productive solution.

 AI-Powered Mock Interviews: A participant conducts a simulated job interview with an AI virtual human playing the role of a school administrator. The interview focuses on behavioral questions related to teaching, such as handling conflict with a parent, motivating a struggling student, or working in a team. The user answers the questions through text. The AI interviewer can dynamically ask follow-up questions to probe deeper into the participant's responses. The AI analyzes the user's answers for content, communication style, and alignment with pedagogical best practices. The tool can provide a score and critical feedback on how the user presented their motivations and handled difficult situations

Parent-Teacher Communication Simulation: The user engages in a simulated conversation with an AI avatar portraying an upset parent. The parent may be concerned about their child's grades, a classroom incident, or a teacher's specific policy. The individual uses text to de-escalate the conversation, address the parent's concerns, and work collaboratively toward a solution. The AI assesses the user's communication, empathy, and problem-solving skills, gauging their ability to build positive relationships with parents and handle sensitive issues diplomatically.

Collaborative Learning Group Facilitation: The user is tasked with leading a virtual group of AI student avatars to complete a project. The avatars are programmed with different personalities, some of which may be uncooperative or have different opinions. The user facilitates the discussion and guides the team to consensus, managing conflicts and ensuring all members contribute effectively. The AI analyzes the user's leadership style, ability to manage group dynamics, and effectiveness in achieving the final project goal. This can help infer how well the individual would perform as a mentor or collaborative teacher."
EDUCATION,"Teaching, Training & Facilitation",Lesson planning; instructional methods; educational technology; assessment practices,Communication; adaptability; facilitation,"Delivers instruction and training across academic, workplace, and community settings by designing lessons, guiding learning, and assessing progress.",Conventional:1; Investigative:1; Social:1; Artistic:0.8; Enterprising:0.8; Realistic:0.8,"The Unruly Classroom: A participant is put in charge of a virtual classroom of misbehaving student avatars. The simulation presents a series of events, like students talking during a lecture or refusing to follow instructions. The participant must choose from a menu of responses, and an AI or human facilitator provides real-time feedback on their choices and their consequences.

 The Challenging Curriculum: The participant receives a fictional memo outlining a problem with a school's curriculum—for example, low test scores in a specific subject area. They must use provided resources (such as virtual lesson plans, student data, or feedback from virtual parents) to create and present a new instructional approach.

The Difficult Parent Meeting: The participant must role-play a parent-teacher conference with a virtual avatar of an unhappy parent. The participant uses a conversational agent (a chatbot) or mixed reality to practice de-escalating the situation, answering difficult questions, and reaching a productive solution.

 AI-Powered Mock Interviews: A participant conducts a simulated job interview with an AI virtual human playing the role of a school administrator. The interview focuses on behavioral questions related to teaching, such as handling conflict with a parent, motivating a struggling student, or working in a team. The user answers the questions through text. The AI interviewer can dynamically ask follow-up questions to probe deeper into the participant's responses. The AI analyzes the user's answers for content, communication style, and alignment with pedagogical best practices. The tool can provide a score and critical feedback on how the user presented their motivations and handled difficult situations

Parent-Teacher Communication Simulation: The user engages in a simulated conversation with an AI avatar portraying an upset parent. The parent may be concerned about their child's grades, a classroom incident, or a teacher's specific policy. The individual uses text to de-escalate the conversation, address the parent's concerns, and work collaboratively toward a solution. The AI assesses the user's communication, empathy, and problem-solving skills, gauging their ability to build positive relationships with parents and handle sensitive issues diplomatically.

Collaborative Learning Group Facilitation: The user is tasked with leading a virtual group of AI student avatars to complete a project. The avatars are programmed with different personalities, some of which may be uncooperative or have different opinions. The user facilitates the discussion and guides the team to consensus, managing conflicts and ensuring all members contribute effectively. The AI analyzes the user's leadership style, ability to manage group dynamics, and effectiveness in achieving the final project goal. This can help infer how well the individual would perform as a mentor or collaborative teacher."
ENERGY & NATURAL RESOURCES,Clean & Alternative Energy,Renewable energy systems; energy technologies; system installation; energy fundamentals,Systems thinking; responsibility,"Develops and manages renewable and low-carbon energy systems such as solar, wind, and nuclear power to meet modern energy demands sustainably.",Artistic:1; Conventional:1; Enterprising:1; Investigative:1; Realistic:1; Social:1,"A renewable energy project manager: The participant must review a fictional client's energy needs and financial constraints. They then analyze provided data on solar or wind potential and select the best renewable energy solution, justifying their choice in a short memo.

 A corporate sustainability officer: The individual is presented with a hypothetical company's operations. They must analyze its carbon footprint data and create a prioritized list of actions to reduce emissions, such as implementing energy efficiency upgrades or purchasing renewable energy credits. 

 The carbon tax challenge: The player assumes the role of a government policy advisor. Given a city's current carbon emissions, they must set a carbon tax level and see how it affects the city's economy, emissions levels, and public sentiment. This tests strategic thinking and systems-level understanding"
